INFO 2026-01-13 20:45:48,974 autoreload Watching for file changes with StatReloader
WARNING 2026-01-13 20:45:53,215 log Not Found: /
WARNING 2026-01-13 20:45:53,218 basehttp "GET / HTTP/1.1" 404 2767
WARNING 2026-01-13 20:45:53,306 log Not Found: /favicon.ico
WARNING 2026-01-13 20:45:53,307 basehttp "GET /favicon.ico HTTP/1.1" 404 2818
INFO 2026-01-13 20:45:57,517 basehttp "GET /admin/ HTTP/1.1" 302 0
INFO 2026-01-13 20:45:57,867 basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4185
INFO 2026-01-13 20:45:57,894 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2026-01-13 20:45:57,895 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2026-01-13 20:45:57,897 basehttp "GET /static/admin/css/login.css HTTP/1.1" 304 0
INFO 2026-01-13 20:45:57,898 basehttp "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2026-01-13 20:45:57,899 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2026-01-13 20:45:57,907 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2026-01-13 20:45:57,908 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2026-01-13 20:46:00,114 basehttp "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2026-01-13 20:46:00,208 basehttp "GET /admin/ HTTP/1.1" 200 8617
INFO 2026-01-13 20:46:00,240 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
INFO 2026-01-13 20:46:00,244 basehttp "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2026-01-13 20:46:00,245 basehttp "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
INFO 2026-01-13 20:46:03,079 basehttp "GET /admin/Devices/device/ HTTP/1.1" 200 11758
INFO 2026-01-13 20:46:03,113 basehttp "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2026-01-13 20:46:03,113 basehttp "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2026-01-13 20:46:03,113 basehttp "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2026-01-13 20:46:03,115 basehttp "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
INFO 2026-01-13 20:46:03,117 basehttp "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2026-01-13 20:46:03,122 basehttp "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2026-01-13 20:46:03,124 basehttp "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2026-01-13 20:46:03,125 basehttp "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2026-01-13 20:46:03,126 basehttp "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2026-01-13 20:46:03,132 basehttp "GET /static/admin/img/search.svg HTTP/1.1" 304 0
INFO 2026-01-13 20:46:03,140 basehttp "GET /static/admin/js/filters.js HTTP/1.1" 304 0
INFO 2026-01-13 20:46:03,211 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2026-01-13 20:46:03,242 basehttp "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 304 0
INFO 2026-01-13 20:46:07,755 basehttp "GET /admin/Devices/device/? HTTP/1.1" 200 11758
INFO 2026-01-13 20:46:07,780 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2026-01-13 20:46:13,635 basehttp "GET /admin/Devices/route/ HTTP/1.1" 200 11131
INFO 2026-01-13 20:46:13,659 basehttp "GET /static/admin/css/forms.css HTTP/1.1" 304 0
INFO 2026-01-13 20:46:13,663 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2026-01-13 20:46:13,669 basehttp "GET /static/admin/css/widgets.css HTTP/1.1" 304 0
INFO 2026-01-13 20:46:15,306 basehttp "GET /admin/Devices/user/ HTTP/1.1" 200 13978
INFO 2026-01-13 20:46:15,328 basehttp "GET /static/admin/img/icon-yes.svg HTTP/1.1" 304 0
INFO 2026-01-13 20:46:15,330 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2026-01-13 20:46:15,352 basehttp "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 304 0
INFO 2026-01-13 20:46:27,238 basehttp "GET /admin/Devices/user/1/change/ HTTP/1.1" 200 27786
INFO 2026-01-13 20:46:27,270 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2026-01-13 20:46:27,270 basehttp "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 304 0
INFO 2026-01-13 20:46:27,536 basehttp "GET /static/admin/js/SelectFilter2.js HTTP/1.1" 200 15292
INFO 2026-01-13 20:46:27,537 basehttp "GET /static/admin/js/SelectBox.js HTTP/1.1" 200 4530
INFO 2026-01-13 20:46:27,539 basehttp "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 200 19319
INFO 2026-01-13 20:46:27,540 basehttp "GET /static/admin/js/calendar.js HTTP/1.1" 200 8466
INFO 2026-01-13 20:46:27,555 basehttp "GET /static/admin/js/change_form.js HTTP/1.1" 304 0
INFO 2026-01-13 20:46:27,614 basehttp "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1086
INFO 2026-01-13 20:46:27,615 basehttp "GET /static/admin/img/icon-unknown.svg HTTP/1.1" 200 655
INFO 2026-01-13 20:46:27,615 basehttp "GET /static/admin/img/icon-unknown-alt.svg HTTP/1.1" 200 655
INFO 2026-01-13 20:46:27,615 basehttp "GET /static/admin/img/icon-clock.svg HTTP/1.1" 200 677
INFO 2026-01-13 20:46:27,616 basehttp "GET /static/admin/img/selector-icons.svg HTTP/1.1" 200 3291
INFO 2026-01-13 20:46:37,381 basehttp "GET /admin/auth/group/add/?_to_field=id&_popup=1 HTTP/1.1" 200 10076
INFO 2026-01-13 20:46:37,396 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2026-01-13 20:46:57,214 basehttp "GET /admin/Devices/vehicle/ HTTP/1.1" 200 11548
INFO 2026-01-13 20:46:57,241 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3343
